Front,Back,Chapter,Tags
"Mission","The core purpose of the NYPD: enhance the quality of life in NYC by working in partnership with the community","General",key_terms 200_general
"Vision","The aspirational goal: a safe and fair City through strategic deployment, crime prevention, quality-of-life focus, and community relationships","General",key_terms 200_general
"Values","Four pledges: protect lives/property, fight crime, maintain integrity, value human life with courtesy and civility","General",key_terms 200_general
"Quality of Life","A recurring theme across the mission and vision — refers to both crime reduction and addressing community concerns","General",key_terms 200_general
"Community Partnership","The foundational approach — the NYPD works WITH the community, not just FOR or OVER it","General",key_terms 200_general
"Strategic Deployment","Allocating resources based on data and need, central to the NYPD's vision","General",key_terms 200_general
"Impartially","Enforcing the law without bias or favoritism — a core value","General",key_terms 200_general
"M.V.V.","Memory aid for the three guiding statements: Mission, Vision, Values","General",key_terms 200_general
"P.I.V.L.","Memory aid for the four pledged values: Protect/impartially enforce, Integrity (higher standard), Value human life/courtesy, Law (fight crime/prevention)","General",key_terms 200_general
"Community Partnership","Foundational NYPD approach — work with the community, not just for or over it; central to the mission statement","General",key_terms 200_general
"Strategic Deployment","Allocating resources based on data and need; central to the NYPD's vision statement","General",key_terms 200_general
"Quality of Life","Recurring theme: refers to both crime reduction AND addressing community concerns","General",key_terms 200_general
"Courtesy and Civility","A core value — members pledge to render services with courtesy; violation is a values breach","General",key_terms 200_general
"Abbreviation","Full Term","Duties & Responsibilities",key_terms 202_duties_responsibilities
"RMP","Radio Motor Patrol","Duties & Responsibilities",key_terms 202_duties_responsibilities
"AVL","Automatic Vehicle Locator","Duties & Responsibilities",key_terms 202_duties_responsibilities
"DAS","Domain Awareness System","Duties & Responsibilities",key_terms 202_duties_responsibilities
"BWC","Body Worn Camera","Duties & Responsibilities",key_terms 202_duties_responsibilities
"CRAFT","(Supervisor Feedback Form)","Duties & Responsibilities",key_terms 202_duties_responsibilities
"CCRB","Civilian Complaint Review Board","Duties & Responsibilities",key_terms 202_duties_responsibilities
"NST","Neighborhood Safety Team","Duties & Responsibilities",key_terms 202_duties_responsibilities
"CRT","Community Response Team","Duties & Responsibilities",key_terms 202_duties_responsibilities
"ECMS","Evidence Collection and Management System","Duties & Responsibilities",key_terms 202_duties_responsibilities
"EDP","Emotionally Disturbed Person","Duties & Responsibilities",key_terms 202_duties_responsibilities
"FORMS","Field Online Reporting and Management System","Duties & Responsibilities",key_terms 202_duties_responsibilities
"CPR System","Complaint, Personnel, and Report System","Duties & Responsibilities",key_terms 202_duties_responsibilities
"IAB","Internal Affairs Bureau","Duties & Responsibilities",key_terms 202_duties_responsibilities
"ICO","Integrity Control Officer","Duties & Responsibilities",key_terms 202_duties_responsibilities
"MOS","Member of the Service","Duties & Responsibilities",key_terms 202_duties_responsibilities
"QOL","Quality of Life","Duties & Responsibilities",key_terms 202_duties_responsibilities
"XO","Executive Officer","Duties & Responsibilities",key_terms 202_duties_responsibilities
"CO","Commanding Officer","Duties & Responsibilities",key_terms 202_duties_responsibilities
"FIO","Field Intelligence Officer","Duties & Responsibilities",key_terms 202_duties_responsibilities
"A.G.","Administrative Guide","Duties & Responsibilities",key_terms 202_duties_responsibilities
"PRAA","Principal Administrative Associate","Duties & Responsibilities",key_terms 202_duties_responsibilities
"TDL","Telephone Dispatch Log","Duties & Responsibilities",key_terms 202_duties_responsibilities
"FSD","Fleet Services Division","Duties & Responsibilities",key_terms 202_duties_responsibilities
