Front,Back,Procedure,Tags
"**Ch. 207** — 207 investigations","When considering incidents involving public officials, confer with the Intelligence Division prior to classifying the occurrence as a possible bias incident","Ch. 207",note critical_detail
"**Ch. 208** — 208 domestic violence","Stalking convictions (all four degrees) will subject an offender to automatic suspension or revocation of a pistol license by the Criminal or Family Court.","Ch. 208",note critical_detail
"**Ch. 208** — 208 domestic violence","A violation of Administrative Code 10-177 does NOT qualify as a family offense.","Ch. 208",note critical_detail
"**Ch. 209** — 209 conditions and types","If a violator is stopped for multiple offenses and at least one is a non-CJRA violation answerable in Criminal Court, the summonsing officer will document ALL violations on summonses returnable to Criminal Court. Check ""NYPD CODE 4"" on all summonses. If Code 4 and any other code(s) are applicable, select Code 4.","Ch. 209",note critical_detail
"**Ch. 210** — 210 release","Upon completion of transport, the van will be returned to command concerned.","Ch. 210",note critical_detail
"**Ch. 211** — 211 department attorney","Any summons and complaint served at a satellite location (precinct detective squad, Medical Division command, Warrant Division command, etc.) will be accepted and processed per this procedure — as long as there are no police officer safety concerns. If safety concerns exist (narcotics, vice enforcement, undercover officers), refer the server and papers to the overhead command.","Ch. 211",note critical_detail
"**Ch. 211** — 211 department attorney","A summons and complaint WILL NOT be accepted for a member who is no longer assigned to the command on the date of service. The process server will be directed to the member's new command.","Ch. 211",note critical_detail
"**Ch. 211** — 211 department attorney","If commanding officer is unavailable, give papers to executive officer, who will assume responsibility for completing the CO's steps.","Ch. 211",note critical_detail
"**Ch. 211** — 211 department attorney","All sections of the REQUEST FOR LEGAL ASSISTANCE must be completed in full. Failure to complete the form will result in it being returned and will delay a representation determination by Corporation Counsel.","Ch. 211",note critical_detail
"**Ch. 213** — 213 first amendment","This procedure could not be cleanly extracted from the source PDF. The title and related information below are derived from cross-references in other procedures.","Ch. 213",note critical_detail
"**Ch. 213** — 213 mobilization readiness","This procedure could not be cleanly extracted from the source PDF. The title and related information below are derived from cross-references in other procedures.","Ch. 213",note critical_detail
"**Ch. 213** — 213 mobilization readiness","This procedure could not be cleanly extracted from the source PDF. The title and related information below are derived from cross-references in other procedures.","Ch. 213",note critical_detail
