Front,Back,Source,Tags
"**1.** Under P.G. 200-02, a sergeant who receives a report of corruption or serious misconduct must notify:

A) A) The desk officer only
B) B) Internal Affairs Bureau Command Center
C) C) The patrol borough commander
D) D) The Chief of Personnel","**Answer: B**

Source: P.G. 200-02

P.G. 200-02 imposes an absolute duty on all members to report corruption or serious misconduct to the IAB Command Center, which operates 24 hours.","P.G. 200-02",master_exam question_1
"**2.** A member of the service has a duty to intervene to stop excessive force. Failure to intervene may result in:

A) A) A verbal reprimand
B) B) Command discipline only
C) C) Criminal and civil liability and Department discipline up to dismissal
D) D) Transfer to another command","**Answer: C**

Source: P.G. 221-02

P.G. 221-02 states that failure to intervene or report excessive force may result in criminal and civil liability and Department discipline up to and including dismissal.","P.G. 221-02",master_exam question_2
"**3.** A CEW discharge in cartridge mode is classified as what level force incident?

A) A) Level 1
B) B) Level 2
C) C) Level 3
D) D) Level 4","**Answer: A**

Source: P.G. 221-03

P.G. 221-03 classifies a CEW discharge in cartridge mode as a Level 1 force incident, requiring investigation by the immediate supervisor.","P.G. 221-03",master_exam question_3
"**4.** The immediate supervisor in a force incident must be:

A) A) Any available supervisor from the same command
B) B) A supervisor not involved in the incident, at least one rank higher than all involved members
C) C) The desk officer of the precinct of occurrence
D) D) The duty captain in all cases","**Answer: B**

Source: P.G. 221-03

P.G. 221-03 defines the immediate supervisor as one NOT involved in the incident and at least one rank higher than all involved members.","P.G. 221-03",master_exam question_4
"**5.** O.C. pepper spray should be applied using:

A) A) One continuous burst at two feet
B) B) Two, one-second bursts at a minimum distance of three feet
C) C) Three short bursts at five feet
D) D) One long burst at arm's length","**Answer: B**

Source: P.G. 221-07

P.G. 221-07 specifies O.C. pepper spray must be applied in two, one-second bursts at a minimum distance of three feet.","P.G. 221-07",master_exam question_5
"**6.** What is the recommended minimum ""zone of safety"" distance from an EDP?

A) A) 10 feet
B) B) 15 feet
C) C) 20 feet
D) D) 25 feet","**Answer: C**

Source: P.G. 221-13

P.G. 221-13 defines the zone of safety as greater than the effective range of any weapon other than a firearm, with a minimum of 20 feet.","P.G. 221-13",master_exam question_6
"**7.** Who investigates Level 3 force incidents?

A) A) Immediate Supervisor
B) B) Commanding Officer/Executive Officer
C) C) Internal Affairs Bureau
D) D) Force Investigation Division","**Answer: C**

Source: P.G. 221-03

P.G. 221-03 assigns investigation of Level 3 force incidents to the Internal Affairs Bureau.","P.G. 221-03",master_exam question_7
"**8.** The UMOS Report of Firearms Discharge (PD324-140) must be completed within:

A) A) 24 hours
B) B) 48 hours
C) C) 72 hours
D) D) End of tour","**Answer: B**

Source: P.G. 221-04

P.G. 221-04 requires the UMOS Report of Firearms Discharge (PD324-140) to be completed within 48 hours.","P.G. 221-04",master_exam question_8
"**9.** After a firearms discharge causing death or injury, the involved UMOS is temporarily assigned for a minimum of:

A) A) One scheduled tour
B) B) Three consecutive scheduled tours
C) C) Five consecutive scheduled tours
D) D) Seven calendar days","**Answer: B**

Source: P.G. 221-04

P.G. 221-04 mandates temporary assignment for a minimum of three consecutive scheduled tours after a firearms discharge causing death or injury.","P.G. 221-04",master_exam question_9
"**10.** Which of the following is a firearm prohibition under P.G. 221-01?

A) A) Discharging a firearm at a fleeing felon who presents an imminent threat
B) B) Firing warning shots
C) C) Discharging a firearm to protect from imminent physical injury
D) D) Discharging a firearm in self-defense","**Answer: B**

Source: P.G. 221-01

P.G. 221-01 explicitly lists firing warning shots as a firearm prohibition under all circumstances.","P.G. 221-01",master_exam question_10
"**11.** Members SHALL NOT discharge firearms at or from a moving vehicle unless:

A) A) The vehicle is being used in a pursuit
B) B) The vehicle is stolen
C) C) Deadly physical force is being used by means other than a moving vehicle
D) D) The vehicle is approaching a checkpoint","**Answer: C**

Source: P.G. 221-01

P.G. 221-01 prohibits discharge at or from a moving vehicle unless deadly physical force is being used by means other than the moving vehicle.","P.G. 221-01",master_exam question_11
"**12.** Who may apply a spit hood to an EDP?

A) A) Any uniformed member of the service
B) B) The patrol supervisor
C) C) Only Emergency Service Unit personnel
D) D) EMS personnel only","**Answer: C**

Source: P.G. 221-13

P.G. 221-13 restricts application of a spit hood exclusively to ESU personnel.","P.G. 221-13",master_exam question_12
"**13.** An EDP must NEVER be transported to:

A) A) The nearest hospital
B) B) A police facility
C) C) A psychiatric ward
D) D) An ambulance","**Answer: B**

Source: P.G. 221-13

P.G. 221-13 states that under no circumstances shall an EDP be transported to a police facility.","P.G. 221-13",master_exam question_13
"**14.** The response of ESU to an EDP scene may only be canceled by:

A) A) Any member of the service
B) B) The desk officer
C) C) A uniformed supervisor in the rank of sergeant or above
D) D) The precinct commanding officer only","**Answer: C**

Source: P.G. 221-13

P.G. 221-13 provides that ESU response to an EDP scene may only be canceled by a uniformed supervisor in the rank of sergeant or above.","P.G. 221-13",master_exam question_14
"**15.** How many T.R.I. INCIDENT REPORTS are prepared per force incident?

A) A) One per involved member
B) B) One per subject
C) C) Only ONE per incident, regardless of number of MOS or subjects
D) D) One per force level","**Answer: C**

Source: P.G. 221-03

P.G. 221-03 establishes that only ONE T.R.I. INCIDENT REPORT is prepared per force incident, regardless of the number of MOS or subjects.","P.G. 221-03",master_exam question_15
"**16.** For Level 3 and Level 4 force incidents, the immediate supervisor should handle BWC footage by:

A) A) Reviewing all videos and documenting findings
B) B) Uploading footage to FORMS T.R.I. application
C) C) Safeguarding cameras and NOT viewing — await IAB/FID direction
D) D) Forwarding footage to the commanding officer","**Answer: C**

Source: P.G. 221-03

For Level 3 and Level 4 force incidents, the immediate supervisor must safeguard BWC cameras and NOT view footage, awaiting IAB/FID direction.","P.G. 221-03",master_exam question_16
"**17.** CEWs should be carried in a holster on which side?

A) A) Shooting side, same as firearm
B) B) Support side, opposite the firearm
C) C) Either side at the member's preference
D) D) Ankle holster","**Answer: B**

Source: P.G. 221-08

P.G. 221-08 requires CEWs to be carried on the support side, opposite the firearm, and prohibits cross-drawing.","P.G. 221-08",master_exam question_17
"**18.** A ""Resisting Recidivist"" is defined as a prisoner arrested for charges against MOS:

A) A) Three or more times in ten years
B) B) More than once within five years
C) C) Twice within one year
D) D) Any repeat offense regardless of timeframe","**Answer: B**

Source: P.G. 221-06

P.G. 221-06 defines a Resisting Recidivist as a prisoner arrested for charges against MOS more than once within five years.","P.G. 221-06",master_exam question_18
"**19.** Vehicle checkpoints should NOT exceed what duration at one location?

A) A) 1 hour
B) B) 2 hours
C) C) 3 hours
D) D) 4 hours","**Answer: B**

Source: P.G. 221-16

P.G. 221-16 specifies vehicle checkpoints should not exceed two hours at one location.","P.G. 221-16",master_exam question_19
"**20.** Department canine teams shall NOT be used for:

A) A) Tracking missing persons
B) B) Crowd control or deterrent at peaceful demonstrations
C) C) Searching buildings for break-in suspects
D) D) Performing cadaver searches","**Answer: B**

Source: P.G. 221-18

P.G. 221-18 expressly prohibits Department canine teams from being used for crowd control or as a deterrent at peaceful demonstrations.","P.G. 221-18",master_exam question_20
"**21.** The use of distraction devices requires approval from:

A) A) Patrol borough commander
B) B) Duty inspector
C) C) Chief of Department or designee
D) D) Chief of Patrol","**Answer: C**

Source: P.G. 221-11

P.G. 221-11 requires approval from the Chief of Department or designee before distraction devices may be used.","P.G. 221-11",master_exam question_21
"**22.** Who has the authority to approve the use of tear gas?

A) A) Precinct commanding officer
B) B) Patrol borough commander or designee
C) C) Chief of Department
D) D) Emergency Service Unit supervisor","**Answer: B**

Source: P.G. 221-09

P.G. 221-09 vests the authority to approve tear gas use with the patrol borough commander or designee.","P.G. 221-09",master_exam question_22
"**23.** A CEW standard cycle is how many seconds?

A) A) 3 seconds
B) B) 5 seconds
C) C) 10 seconds
D) D) 15 seconds","**Answer: B**

Source: P.G. 221-08

P.G. 221-08 states the standard CEW cycle is five seconds.","P.G. 221-08",master_exam question_23
"**24.** At the scene of a firearms discharge, the PBT alcohol test threshold is:

A) A) .04
B) B) .05
C) C) .08
D) D) .10","**Answer: C**

Source: P.G. 221-23

P.G. 221-23 establishes that a PBT reading of .08 or greater requires transport to the IDTU facility for an Intoxilyzer test.","P.G. 221-23",master_exam question_24
"**25.** When a prisoner is found unconscious in a cell, the first member to discover the condition must:

A) A) Notify the desk officer immediately
B) B) Enter the cell and begin emergency care
C) C) Wait for a supervisor before entering
D) D) Contact EMS only","**Answer: B**

Source: P.G. 210-09

P.G. 210-09 directs that the discovering member must enter the cell immediately and begin emergency care when a prisoner is found unconscious.","P.G. 210-09",master_exam question_25
"**26.** A uniformed member of the service who misuses a firearm while unfit for duty due to excessive alcohol consumption will be:

A) A) Placed on modified assignment
B) B) Suspended for 30 days
C) C) Terminated from the Department
D) D) Given command discipline","**Answer: C**

Source: A.G. 304-04

A.G. 304-04 mandates termination for any UMOS who misuses a firearm while unfit for duty due to excessive alcohol consumption.","A.G. 304-04",master_exam question_26
"**27.** A UMOS causes serious physical injury while operating a motor vehicle and is determined unfit due to alcohol. The consequence is:

A) A) Dismissal Probation only
B) B) Suspension and retraining
C) C) Termination, absent exigent circumstances
D) D) Modified assignment for 30 days","**Answer: C**

Source: A.G. 304-04

A.G. 304-04 requires termination when a UMOS causes serious physical injury while operating a motor vehicle and is determined unfit due to alcohol, absent exigent circumstances.","A.G. 304-04",master_exam question_27
"**28.** The Counseling Services Unit operates:

A) A) Monday through Friday, 0900-1700 hours
B) B) 24 hours a day, seven days a week
C) C) Only during business hours
D) D) By appointment only","**Answer: B**

Source: A.G. 304-04

A.G. 304-04 specifies that the Counseling Services Unit operates 24 hours a day, seven days a week.","A.G. 304-04",master_exam question_28
"**29.** A member participating in counseling programs for alcohol should know that:

A) A) Their promotional opportunities will be jeopardized
B) B) They will automatically be transferred
C) C) Participation will NOT jeopardize promotional opportunities
D) D) They will be placed on restricted duty","**Answer: C**

Source: A.G. 304-04

A.G. 304-04 expressly states that participation in counseling programs will NOT jeopardize promotional opportunities.","A.G. 304-04",master_exam question_29
"**30.** The Counseling Services Unit maintains confidentiality under:

A) A) New York State Civil Service Law
B) B) Title 42 of Federal guidelines governing alcoholism programs
C) C) Department Administrative Guide only
D) D) HIPAA regulations","**Answer: B**

Source: A.G. 304-04

A.G. 304-04 states the Counseling Services Unit maintains confidentiality pursuant to Title 42 of Federal guidelines governing alcoholism programs.","A.G. 304-04",master_exam question_30
"**31.** All firearm repairs and modifications must be performed by:

A) A) Any certified gunsmith
B) B) The member's commanding officer
C) C) Firearms and Tactics Section armorers solely
D) D) The member with CO approval","**Answer: C**

Source: A.G. 305-07

A.G. 305-07 requires all firearm repairs and modifications to be performed solely by Firearms and Tactics Section armorers.","A.G. 305-07",master_exam question_31
"**32.** Which type of holster is prohibited?

A) A) Shoulder holster
B) B) Ankle holster
C) C) Belly band holster
D) D) Inside-waistband holster","**Answer: C**

Source: A.G. 305-07

A.G. 305-07 specifically lists belly band holsters among prohibited carrying methods.","A.G. 305-07",master_exam question_32
"**33.** Firearms may NOT be stored or left in:

A) A) A locked firearms safe at home
B) B) An unattended motor vehicle
C) C) The desk officer's safekeeping
D) D) A firearms safety station","**Answer: B**

Source: A.G. 305-07

A.G. 305-07 prohibits storing or leaving firearms in an unattended motor vehicle.","A.G. 305-07",master_exam question_33
"**34.** A UMOS entering Family Court must be:

A) A) Armed with service pistol only
B) B) Unarmed, unless present as arresting officer or on official business
C) C) Armed with both service and off-duty weapons
D) D) Armed but with weapon concealed","**Answer: B**

Source: A.G. 305-07

A.G. 305-07 requires members to be unarmed when entering Family Court, unless present as the arresting officer or on official business.","A.G. 305-07",master_exam question_34
"**35.** A report for lost or damaged uniform must be filed within:

A) A) 10 days
B) B) 30 days
C) C) 60 days
D) D) 90 days","**Answer: B**

Source: A.G. 305-05

A.G. 305-05 requires a report for lost or damaged uniform to be submitted within 30 days of the incident.","A.G. 305-05",master_exam question_35
"**36.** Reimbursement for uniform items costing less than $100 should be forwarded:

A) A) Through channels
B) B) Direct to Deputy Commissioner, Management and Budget
C) C) Via Internal Affairs Bureau
D) D) Through the Chief of Department","**Answer: B**

Source: A.G. 305-05

A.G. 305-05 directs reimbursement claims under $100 to be forwarded directly to the Deputy Commissioner, Management and Budget.","A.G. 305-05",master_exam question_36
"**37.** The maximum reimbursement amount for a lost watch is:

A) A) $50.00
B) B) $75.00
C) C) $100.00
D) D) $150.00","**Answer: B**

Source: A.G. 305-05

A.G. 305-05 sets the maximum reimbursement for a lost watch at $75.00.","A.G. 305-05",master_exam question_37
"**38.** All settlements for uniform reimbursement must be executed within:

A) A) 90 days of approval
B) B) 120 days of approval
C) C) 180 days of approval
D) D) One year of approval","**Answer: C**

Source: A.G. 305-05

A.G. 305-05 states all uniform reimbursement settlements must be executed within 180 days of approval or they lapse.","A.G. 305-05",master_exam question_38
"**39.** Upon observing a UMOS who appears intoxicated, the supervisory member must prepare PD469-150:

A) A) Within 24 hours
B) B) By end of tour
C) C) Immediately
D) D) Within 48 hours","**Answer: C**

Source: A.G. 318-10

A.G. 318-10 directs the supervisory member to immediately prepare PD469-150 upon observing a UMOS who appears intoxicated.","A.G. 318-10",master_exam question_39
"**40.** When a UMOS is determined intoxicated, the CO/XO/duty captain should:

A) A) Issue a verbal warning and send member home
B) B) Remove firearms, place on modified assignment or suspend, and advise of counseling
C) C) Notify Internal Affairs Bureau only
D) D) Contact the Police Commissioner directly","**Answer: B**

Source: A.G. 318-10

A.G. 318-10 requires the CO/XO/duty captain to remove firearms, place the member on modified assignment or suspend, and advise of counseling.","A.G. 318-10",master_exam question_40
"**41.** The Typed Letterhead report for an intoxicated UMOS is prepared in how many copies?

A) A) Five
B) B) Six
C) C) Eight
D) D) Ten","**Answer: C**

Source: A.G. 318-10

The Typed Letterhead report for an intoxicated UMOS is prepared in 8 copies addressed to the 1st Deputy Commissioner.","A.G. 318-10",master_exam question_41
"**42.** Prior to questioning a member in an official investigation, the interrogating officer must provide:

A) A) CHARGES AND SPECIFICATIONS (PD468-121)
B) B) NOTIFICATION OF ALLEGATION(S) AND EMPLOYEE'S RIGHTS (PD339-121)
C) C) SUPERVISOR'S FITNESS FOR DUTY REPORT (PD469-150)
D) D) Miranda Warning Card","**Answer: B**

Source: A.G. 318-11

Before questioning a member, the interrogating officer must provide the NOTIFICATION OF ALLEGATION(S) AND EMPLOYEE'S RIGHTS (PD339-121).","A.G. 318-11",master_exam question_42
