Front,Back,Category,Tags
"**207 — 207 COMPLAINT SYSTEM**","Ensure members understand which incidents require a formal Complaint Report and which are properly documented through alternative means. Misdocumentation can affect crime statistics and case tracking.","Complaints",sergeant_focus
"**207 — 207 COMPLAINT SYSTEM**","Supervisors must ensure that complaints taken for another command are promptly and accurately forwarded. Delays can compromise investigations.","Complaints",sergeant_focus
"**207 — 207 COMPLAINT SYSTEM**","Patrol supervisors should ensure that officers conducting follow-up canvasses or receiving new information properly route it to the assigned investigative unit rather than creating new complaint reports.","Complaints",sergeant_focus
"**207 — 207 COMPLAINT SYSTEM**","Supervisors are responsible for ensuring the complaint file is maintained in an orderly and up-to-date fashion, facilitating case review and audits.","Complaints",sergeant_focus
"**207 — 207 INVESTIGATIONS**","The Intelligence Division consultation for public officials is a new emphasis in the 2025 revision. This is a ""shall"" requirement, not discretionary.","Complaints",sergeant_focus
"**207 — 207 INVESTIGATIONS**","The patrol supervisor has dual responsibilities: (1) promptly report to SVU, and (2) safeguard the crime scene pending detective arrival. The supervisor ""shall"" ensure evidence preservation -- this is mandatory.","Complaints",sergeant_focus
"**207 — 207 NOTIFICATIONS**","These notifications frequently involve elderly or incapacitated persons. Ensure responding members are sensitive to the circumstances and thorough in documentation.","Complaints",sergeant_focus
"**208 — 208 DAT**","A DAT-eligible prisoner should NEVER be held solely for debriefing purposes. The only exception is when there is reasonable suspicion that the prisoner is involved in another crime. Holding a DAT-eligible prisoner without legal basis exposes the Department to liability.","Arrests",sergeant_focus
"**208 — 208 DAT**","The three categories are frequently tested. Remember: Category 1 = who the defendant IS, Category 2 = what the defendant DID, Category 3 = what the defendant MIGHT DO (future danger requiring court protection).","Arrests",sergeant_focus
"**208 — 208 DAT**","Supervisors must track DAT conferrals to ensure they happen within the required timeframe. A missed conferral can result in case dismissal.","Arrests",sergeant_focus
"**208 — 208 DOMESTIC VIOLENCE**","Strangulation injuries are often internal and not immediately visible. Supervisors must ensure victims receive medical evaluation even when external injuries are absent.","Arrests",sergeant_focus
"**208 — 208 DV PHOTOS**","The Training Sergeant (not the DV Sergeant) is responsible for ensuring all UMOS know how to take and upload DV photos. The DVPO reviews daily to ensure photos were taken. Injuries that were not visible initially may become visible later — follow-up photography is critical.","Arrests",sergeant_focus
"**208 — 208 LAW AND PROCESSING**","Petty offenses have the most restrictive requirements — the offense must be in the officer's presence, within the geographical area of employment, AND within the county of occurrence or adjoining county. Crimes (felonies and misdemeanors) require only reasonable cause and have no county limitation within the geographical area.","Arrests",sergeant_focus
"**208 — 208 LAW AND PROCESSING**","The supervisor's verification at the scene BEFORE removal is a critical checkpoint. The supervisor must also ensure a member is designated to document all MOS present and BWC activation status.","Arrests",sergeant_focus
"**208 — 208 LAW AND PROCESSING**","The desk officer must personally observe the physical and mental condition of ALL prisoners entering the command. High-risk prisoners require TWO MOS escort at ALL times — not just during transport.","Arrests",sergeant_focus
"**208 — 208 LAW AND PROCESSING**","Ensure arresting officers follow identification procedures thoroughly. Misidentification can lead to wrongful release or processing errors.","Arrests",sergeant_focus
"**208 — 208 LAW AND PROCESSING**","Supervisors must monitor felony processing timelines closely to ensure arraignment deadlines are met.","Arrests",sergeant_focus
"**208 — 208 LAW AND PROCESSING**","Supervisors must verify the validity of the warrant or wanted status before authorizing transfer of custody.","Arrests",sergeant_focus
"**208 — 208 NOTIFICATIONS**","Supervisors must ensure all required notifications are made promptly. Failure to notify specialized units can compromise investigations and inter-agency relationships. The Intelligence Division notification list is particularly important — UN employees, foreign armed forces, and criminal anarchy all require immediate Intelligence Division contact.","Arrests",sergeant_focus
"**208 — 208 SEARCH GUIDELINES**","The desk officer's authority over religious head covering decisions is absolute at the command level. This mirrors the desk officer's broad authority over prisoner processing decisions within the command.","Arrests",sergeant_focus
"**208 — 208 SEARCH GUIDELINES**","Supervisors must ensure that strip searches are NEVER conducted routinely. Every strip search requires (1) reasonable suspicion, (2) immediate supervisor or borough court section supervisor approval, and (3) same-gender officer in a private, secure location. Document the basis for reasonable suspicion. NEVER allow a body cavity search under any circumstances.","Arrests",sergeant_focus
