Front,Back,Chapter,Section,Tags
"**1.** According to P.G. 200-02, the mission of the NYPD is to enhance the quality of life in New York City by:

A) A) Aggressively enforcing all laws and reducing crime statistics
B) B) Working in partnership with the community to enforce the law, preserve peace, protect the people, reduce fear, and maintain order
C) C) Strategically deploying resources to prevent crime and address quality-of-life concerns
D) D) Protecting the lives and property of citizens and impartially enforcing the law","**Answer: B**

The mission specifically states ""working in partnership with the community to enforce the law, preserve peace, protect the people, reduce fear, and maintain order."" Option C describes the vision, and Option D describes one of the values.","General","200",chapter_200 200_general
"**2.** Which of the following is NOT one of the four pledged values of the NYPD?

A) A) Protect the lives and property of our fellow citizens
B) B) Strategically deploy resources to prevent crime
C) C) Maintain a higher standard of integrity than is generally expected of others
D) D) Value human life, respect the dignity of each individual","**Answer: B**

Strategic deployment of resources is part of the NYPD's vision, not its values. The four values are: (1) Protect lives/property and impartially enforce the law, (2) Fight crime through prevention and pursuit, (3) Maintain higher integrity standards, (4) Value human life with courtesy and civility.","General","200",chapter_200 200_general
"**3.** The NYPD's vision statement focuses on fostering a safe and fair City through:

A) A) Community policing and partnership
B) B) Strategic deployment of resources, crime prevention, quality-of-life concerns, and community relationships
C) C) Enforcement of the law, preservation of peace, and protection of the people
D) D) Maintaining higher standards of integrity and valuing human life","**Answer: B**

The vision specifically mentions strategic deployment of resources, focusing on crime prevention AND quality-of-life concerns, while building lasting community relationships. Option A is a general concept, Option C is the mission, and Option D describes the values.","General","200",chapter_200 200_general
"**4.** A Sergeant observes an officer speaking rudely to a civilian who asked for directions. Which element of P.G. 200-02 is the officer violating?

A) A) The NYPD mission
B) B) The NYPD vision
C) C) The NYPD values
D) D) None — this is not addressed in P.G. 200-02","**Answer: C**

The NYPD values pledge to ""render our services with courtesy and civility."" An officer being rude to a civilian directly violates this value.","General","200",chapter_200 200_general
"**5.** According to P.G. 200-02, why are members of the NYPD expected to maintain a higher standard of integrity?

A) A) Because they carry firearms
B) B) Because so much is expected of them
C) C) Because they serve the public
D) D) Because of their oath of office","**Answer: B**

The exact language from the values states: ""Maintain a higher standard of integrity than is generally expected of others because so much is expected of us.""","General","200",chapter_200 200_general
"**6.** Which statement best reflects the NYPD's approach to community relations?

A) A) The NYPD serves the community by enforcing laws without compromise
B) B) The NYPD works in partnership with the community to enhance quality of life
C) C) The NYPD prioritizes crime statistics reduction above all other concerns
D) D) The NYPD maintains order through visible patrol and deterrent presence","**Answer: B**

The mission specifically states the NYPD works ""in partnership with the community"" to enhance quality of life. This partnership framing distinguishes the NYPD's stated approach from a purely enforcement-dominated model. (P.G. 200-02, Mission)

> Exam Alert: The word ""partnership"" in the mission statement is a deliberate choice — it signals community collaboration, not just enforcement authority. Any answer choice that omits this collaborative element may be tempting but is incomplete.","General","200",chapter_200 200_general
"**7.** A newly promoted Sergeant addresses a community group. Which description most accurately represents the NYPD's vision?

A) A) A safe and fair city through strategic deployment of resources, focusing on crime prevention, quality-of-life concerns, and building lasting community relationships
B) B) A city with zero crime where all laws are strictly enforced at all times
C) C) A city where the police maintain complete control over all neighborhoods
D) D) A city where quality-of-life concerns are addressed primarily through community policing alone","**Answer: A**

The vision explicitly states: ""foster a safe and fair City through the strategic deployment of resources, focusing on both crime prevention and addressing quality-of-life concerns while building lasting community relationships."" (P.G. 200-02, Vision)","General","200",chapter_200 200_general
"**8.** On an exam, a question asks about the relationship between the NYPD's values and supervisory accountability. Which answer is most accurate?

A) A) The values serve as aspirational goals that Sergeants are encouraged to follow voluntarily
B) B) The values are decorative statements not directly relevant to Sergeant duties
C) C) The values establish conduct standards Sergeants must model and enforce within their squad
D) D) The values apply only to officers in precincts, not to specialized units","**Answer: C**

As a supervisor, a Sergeant is expected to model and enforce these values within their squad. The values stress integrity and higher standards — Sergeants are held to an even higher standard as first-line supervisors. (P.G. 200-02, Sergeant Study Notes)

> Exam Alert: The phrase ""higher standard of integrity"" is not rhetorical — it has direct exam implications. Sergeants are expected to know and enforce the values, not merely aspire to them.","General","200",chapter_200 200_general
"**9.** A Sergeant notices an officer making a discourteous remark to a civilian. This conduct is best described as a violation of:

A) A) The NYPD's mission statement
B) B) The NYPD's vision statement
C) C) The NYPD's values statement
D) D) Not addressed in P.G. 200-02","**Answer: C**

The values pledge to ""value human life, respect the dignity of each individual and render our services with courtesy and civility."" Making a discourteous remark directly violates this value. (P.G. 200-02, Values)

> Prior Test: This exact scenario — an officer being discourteous to a civilian asking for directions — appeared on a recent Sergeant exam, with the correct answer citing the values statement on courtesy and civility.","General","200",chapter_200 200_general
"**10.** The phrase ""strategic deployment of resources"" belongs to which guiding statement?

A) A) The Mission
B) B) The Vision
C) C) The Values
D) D) None of the above","**Answer: B**

""Strategic deployment of resources"" is a key phrase in the Vision statement, which describes fostering a safe and fair city through strategic deployment, crime prevention, and quality-of-life focus. It does not appear in the Mission or Values statements. (P.G. 200-02, Vision)

> Memory Aid — S.D.R.: Strategic Deployment = Vision. Apply the same letter pattern: Mission = M-Q-L (enhance Main Quality Life), Vision = V-S-V (Vision = Safe/Vision = Victory through strategic Victory... easier: just remember Vision has Verb ""foster"" and Vision = V = Victory/Safe).","General","200",chapter_200 200_general
